Epoch,Train Loss,Val Loss,Train Acc,Val Acc
0,1.0403338885307312,1.0266178250312805,0.50875,0.56
1,1.008006911277771,1.0274577481406075,0.5225,0.5
2,1.0074453735351563,1.0292380367006575,0.50125,0.5
3,1.005128047466278,1.0250651155199324,0.51125,0.5
4,1.000352966785431,1.031546482018062,0.51625,0.5
5,1.0110767006874084,1.0284911564418249,0.5,0.48
6,1.0020158433914184,1.0337805577686854,0.50625,0.5
7,1.0016247963905334,1.0372297593525477,0.52125,0.48
8,0.9916116905212402,1.0447523764201574,0.49375,0.56
9,0.9997763204574585,1.0347150308745248,0.515,0.56
